refDate,group,volumeIndex,yoyChange
2022-11-01,Agriculture,88.0,-27.45259686727123
2022-12-01,Agriculture,93.6,-21.60804020100503
2023-01-01,Agriculture,136.6,19.51006124234471
2023-02-01,Agriculture,101.5,-20.14162077104642
2023-03-01,Agriculture,126.7,15.602189781021902
2023-04-01,Agriculture,89.3,-27.692307692307693
2023-05-01,Agriculture,129.0,18.78453038674033
2023-06-01,Agriculture,133.0,12.426035502958577
2023-07-01,Agriculture,122.0,5.536332179930792
2023-08-01,Agriculture,119.9,2.742073693230518
2023-09-01,Agriculture,127.7,16.514598540145986
2023-10-01,Agriculture,120.7,14.407582938388618
2023-11-01,Agriculture,139.7,58.74999999999999
2023-12-01,Agriculture,142.4,52.13675213675215
2024-01-01,Agriculture,127.3,-6.808199121522696
2024-02-01,Agriculture,128.4,26.502463054187196
2024-03-01,Agriculture,114.0,-10.023677979479084
2024-04-01,Agriculture,125.4,40.42553191489362
2024-05-01,Agriculture,120.2,-6.8217054263565835
2024-06-01,Agriculture,114.8,-13.684210526315788
2024-07-01,Agriculture,121.9,-0.08196721311475308
2024-08-01,Agriculture,127.5,6.338615512927426
2024-09-01,Agriculture,134.0,4.933437744714175
2024-10-01,Agriculture,145.9,20.878210439105228
2024-11-01,Agriculture,138.3,-1.0021474588403523
2024-12-01,Agriculture,127.2,-10.67415730337079
2025-01-01,Agriculture,141.9,11.468970934799682
2025-02-01,Agriculture,125.4,-2.336448598130836
2025-03-01,Agriculture,138.8,21.75438596491228
2025-04-01,Agriculture,128.4,2.392344497607657
2025-05-01,Agriculture,130.7,8.735440931780358
2025-06-01,Agriculture,127.9,11.411149825783973
2025-07-01,Agriculture,122.4,0.41017227235438103
2025-08-01,Agriculture,125.3,-1.7254901960784386
2025-09-01,Agriculture,126.3,-5.746268656716424
2025-10-01,Agriculture,132.2,-9.389993145990417
2025-11-01,Agriculture,142.1,2.7476500361532707
2017-01-01,Clothing and Footwear,93.8,
2017-02-01,Clothing and Footwear,100.5,
2017-03-01,Clothing and Footwear,85.9,
2017-04-01,Clothing and Footwear,101.6,
2017-05-01,Clothing and Footwear,97.8,
2017-06-01,Clothing and Footwear,100.4,
2017-07-01,Clothing and Footwear,102.2,
2017-08-01,Clothing and Footwear,100.3,
2017-09-01,Clothing and Footwear,101.6,
2017-10-01,Clothing and Footwear,100.8,
2017-11-01,Clothing and Footwear,105.5,
2017-12-01,Clothing and Footwear,109.7,
2018-01-01,Clothing and Footwear,100.2,6.823027718550123
2018-02-01,Clothing and Footwear,105.1,4.577114427860685
2018-03-01,Clothing and Footwear,112.9,31.43189755529685
2018-04-01,Clothing and Footwear,106.4,4.7244094488189115
2018-05-01,Clothing and Footwear,112.0,14.519427402862984
2018-06-01,Clothing and Footwear,111.1,10.657370517928278
2018-07-01,Clothing and Footwear,108.0,5.675146771037176
2018-08-01,Clothing and Footwear,99.3,-0.9970089730807596
2018-09-01,Clothing and Footwear,104.9,3.2480314960630086
2018-10-01,Clothing and Footwear,103.7,2.876984126984139
2018-11-01,Clothing and Footwear,110.1,4.360189573459716
2018-12-01,Clothing and Footwear,107.1,-2.370100273473119
2019-01-01,Clothing and Footwear,114.0,13.772455089820346
2019-02-01,Clothing and Footwear,106.3,1.141769743101806
2019-03-01,Clothing and Footwear,117.8,4.340124003542956
2019-04-01,Clothing and Footwear,108.9,2.3496240601503793
2019-05-01,Clothing and Footwear,115.7,3.303571428571428
2019-06-01,Clothing and Footwear,113.8,2.4302430243024364
2019-07-01,Clothing and Footwear,113.9,5.462962962962958
2019-08-01,Clothing and Footwear,101.1,1.812688821752273
2019-09-01,Clothing and Footwear,101.6,-3.145853193517645
2019-10-01,Clothing and Footwear,93.0,-10.318225650916101
2019-11-01,Clothing and Footwear,95.3,-13.44232515894641
2019-12-01,Clothing and Footwear,107.3,0.18674136321195078
2020-01-01,Clothing and Footwear,105.1,-7.807017543859651
2020-02-01,Clothing and Footwear,93.9,-11.66509877704609
2020-03-01,Clothing and Footwear,91.7,-22.156196943972827
2020-04-01,Clothing and Footwear,66.5,-38.934802571166216
2020-05-01,Clothing and Footwear,57.3,-50.475367329299914
2020-06-01,Clothing and Footwear,72.2,-36.55536028119507
2020-07-01,Clothing and Footwear,79.1,-30.553116769095713
2020-08-01,Clothing and Footwear,89.7,-11.275964391691385
2020-09-01,Clothing and Footwear,88.8,-12.598425196850393
2020-10-01,Clothing and Footwear,100.6,8.172043010752672
2020-11-01,Clothing and Footwear,95.4,0.10493179433368471
2020-12-01,Clothing and Footwear,84.6,-21.155638397017707
2021-01-01,Clothing and Footwear,85.2,-18.934348239771637
2021-02-01,Clothing and Footwear,95.8,2.0234291799786863
2021-03-01,Clothing and Footwear,99.1,8.069792802617215
2021-04-01,Clothing and Footwear,92.9,39.699248120300766
2021-05-01,Clothing and Footwear,96.7,68.76090750436302
2021-06-01,Clothing and Footwear,75.0,3.87811634349029
2021-07-01,Clothing and Footwear,74.6,-5.6890012642225045
2021-08-01,Clothing and Footwear,92.8,3.455964325529526
2021-09-01,Clothing and Footwear,94.5,6.4189189189189255
2021-10-01,Clothing and Footwear,102.3,1.6898608349900535
2021-11-01,Clothing and Footwear,100.6,5.450733752620529
2021-12-01,Clothing and Footwear,105.7,24.940898345153673
2022-01-01,Clothing and Footwear,98.4,15.492957746478876
2022-02-01,Clothing and Footwear,96.4,0.6263048016701633
2022-03-01,Clothing and Footwear,111.4,12.411705348133207
2022-04-01,Clothing and Footwear,139.2,49.83853606027986
2022-05-01,Clothing and Footwear,122.4,26.57704239917271
2022-06-01,Clothing and Footwear,111.4,48.53333333333334
2022-07-01,Clothing and Footwear,116.3,55.898123324396785
2022-08-01,Clothing and Footwear,141.7,52.69396551724137
2022-09-01,Clothing and Footwear,135.7,43.597883597883595
2022-10-01,Clothing and Footwear,135.5,32.4535679374389
2022-11-01,Clothing and Footwear,129.9,29.125248508946335
2022-12-01,Clothing and Footwear,113.4,7.284768211920523
2023-01-01,Clothing and Footwear,123.1,25.10162601626016
2023-02-01,Clothing and Footwear,124.6,29.253112033195006
2023-03-01,Clothing and Footwear,100.5,-9.784560143626575
2023-04-01,Clothing and Footwear,115.0,-17.385057471264364
2023-05-01,Clothing and Footwear,115.8,-5.392156862745101
2023-06-01,Clothing and Footwear,120.9,8.527827648114904
2023-07-01,Clothing and Footwear,102.1,-12.2098022355976
2023-08-01,Clothing and Footwear,102.0,-28.016937191249113
2023-09-01,Clothing and Footwear,95.7,-29.476787030213703
2023-10-01,Clothing and Footwear,100.2,-26.051660516605168
2023-11-01,Clothing and Footwear,115.7,-10.931485758275594
2023-12-01,Clothing and Footwear,132.6,16.93121693121693
2024-01-01,Clothing and Footwear,122.2,-0.7311129163281804
2024-02-01,Clothing and Footwear,130.7,4.895666131621179
